name,Complexity,Copy Number
hookwithtailtailsiamesesnake.rle,16.0,10
p52emu4.rle,1696.6746337316865,14
32829m_synth.rle,169.93809690484522,6
b29_synth.rle,66.65323266163308,32
backrake1.rle,60.6274813740687,14
aforall.rle,27.333216660833042,10
b29withgliders.rle,21.23106155307765,1
fumaroleonp18biblockhassler.rle,47.466673333666684,3
hookwithtailwithcape.rle,13.0,5
209p8.rle,90.12500625031251,8
aforall_synth.rle,84.65558277913895,1
integralwithtub_synth.rle,33.05345267263363,16
beaconmaker.rle,26.000350017500875,7
loafbacktieloaf_synth.rle,18.001550077503875,15
longboatwithlongtail.rle,16.0,6
longtubclawwithtail.rle,17.0,4
ortholoafontable.rle,17.0,6
p52gun3.rle,373.5820291014551,23
pt8p.rle,49.471423571178555,10
beehive_synth.rle,39.19620981049052,1
backrake2.rle,20.57022851142557,12
beehiveandcap.rle,15.0,1
longintegralwithboat.rle,16.0,5
fourreagents.rle,75.0,10
l156reactions.rle,195.04405220261012,37
p5pentaboojum.rle,75.15270763538176,11
backrake3.rle,55.835391769588476,7
beehiveanddock.rle,18.0,2
longboattieship_synth.rle,19.066103305165257,15
loops43to54.rle,998.322816140807,7
omnibuspredecessor.rle,84.74198709935496,15
p57bumperloop.rle,111.17560878043902,6
backwardspacerake.rle,13.244862243112156,24
baker.rle,15.005250262513124,29
p18biblockhassler.rle,34.22221111055553,19
period52gun2.rle,2047.331266563328,23
p18biblockhassler_synth.rle,164.6824841242062,19
period52gun5.rle,373.5820291014551,14
beehiveandtable.rle,15.0,1
bakersdozen.rle,37.2499624981249,15
p29trafficfarmhassler.rle,77.65508275413771,9
pipsquirter3.rle,35.400070003500176,8
beehiveandtable_synth.rle,60.030501525076254,1
ortholoafontable_synth.rle,37.07435371768588,6
p60bheptominoshuttle.rle,67.82894144707235,4
bakersdozen_synth.rle,140.3135656782839,15
beehivefuse.rle,27.25751287564378,5
prequasar.rle,117.997599879994,18
bakery.rle,26.0,88
grinreagent.rle,29.0,10
p49bumperloop.rle,117.40757037851893,7
pseudo50.rle,198.94289714485723,9
beehiveatbeehive.rle,13.0,27
bakery_synth.rle,102.22786139306965,1
pseudop6.rle,63.0,3
beehivewithnine.rle,15.0,21
barge.rle,12.0,220
p60glidershuttle.rle,39.04885244262213,16
barge2extended.rle,103.4423221161058,5
beehiveatbeehive_synth.rle,95.23771188559428,1
barge2spaceship.rle,0.6500825041252062,5
beaconon38p11.1.rle,32.63638181909095,1
longsnakesiameselongsnake.rle,17.0,5
lwssgliderinjection.rle,1558.2001100055002,10
p49bumperloopnew.rle,116.6096804840242,7
pt9b.rle,38.998149907495375,9
beehiveatloaf.rle,15.0,22
p60trafficlighthassler.rle,105.49882494124707,5
p104bshuttle.rle,68.8158407920396,1
p58toadflipper.rle,153.4501225061253,10
barge_synth.rle,62.2579628981449,1
p64tbh.rle,44.92189609480474,9
bargeextended.rle,87.08980449022451,6
